,title,price,city,datetime,nb_rooms,nb_baths,surface_area,equipement,link
0,CMN-MA-1641 - Appartement à vendre à Val Fleurie,1 600 000 DH,Casablanca,"11/6/2024, 12:12:49 PM",3,1,132,"Ascenseur, Balcon, Parking, Terrasse",https://www.avito.ma/fr/val_fleuri/appartements/CMN_MA_1641___Appartement_%C3%A0_vendre_%C3%A0_Val_Fleurie_55294484.htm
1,Appartement à vendre 125 m² à Casablanca,9 900 DH,Casablanca,"11/6/2024, 12:12:26 PM",2,2,125,"Balcon, Climatisation, Cuisine Équipée, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_125_m%C2%B2_%C3%A0_Casablanca_53475566.htm
2,CMN-MA-1787 - Appartement à vendre à Les Hôpitaux,2 300 000 DH,Casablanca,"11/6/2024, 12:10:48 PM",3,2,233,"Ascenseur, Balcon, Parking, Terrasse",https://www.avito.ma/fr/quartier_des_h%C3%B4pitaux/appartements/CMN_MA_1787___Appartement_%C3%A0_vendre_%C3%A0_Les_H%C3%B4pitaux_55743364.htm
3,Appartement à vendre 3 chambres Salon à Casa,PRIX NON SPÉCIFIÉ,Casablanca,"11/6/2024, 12:10:57 PM",,,,,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre__3_chambres_Salon_%C3%A0_Casa_55246502.htm
4,,,,,,,,,https://immoneuf.avito.ma/fr/unite/l53?utm_source=avito_integration&utm_medium=listing_integration
5,Appartement à vendre 202 m² à Casablanca,3 000 000 DH,Casablanca,"11/6/2024, 11:59:43 AM",4,3,202,"Ascenseur, Balcon, Climatisation, Concierge, Terrasse",https://www.avito.ma/fr/maarif/appartements/Appartement_%C3%A0_vendre_202_m%C2%B2_%C3%A0_Casablanca_55362270.htm
6,Appartement 76 m² bien ensoleillé avec terrasse,17 500 DH,Casablanca,"11/6/2024, 11:59:29 AM",2,2,76,"Ascenseur, Balcon, Concierge, Cuisine Équipée, Parking, Terrasse",https://www.avito.ma/fr/oasis/appartements/Appartement_76_m%C2%B2_bien_ensoleill%C3%A9_avec_terrasse_54419380.htm
7,Appartement à vendre 72 m² à Casablanca,750 000 DH,Casablanca,"11/6/2024, 11:58:58 AM",2,2,81,"Ascenseur, Concierge, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/a%C3%AFn_borja/appartements/Appartement_%C3%A0_vendre_72_m%C2%B2_%C3%A0_Casablanca_50029580.htm
8,Grand Appart 212 m² à Californie,2 100 000 DH,Casablanca,"11/6/2024, 11:58:12 AM",3,2,212,"Ascenseur, Chauffage, Climatisation, Concierge, Cuisine Équipée, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/californie/appartements/Grand_Appart__212_m%C2%B2_%C3%A0_Californie__55699077.htm
9,,,,,,,,,https://immoneuf.avito.ma/fr/unite/GFg?utm_source=avito_integration&utm_medium=listing_integration
10,Appartement à vendre 116 m² à Casablanca,PRIX NON SPÉCIFIÉ,Casablanca,"11/6/2024, 11:57:33 AM",,,,,https://www.avito.ma/fr/bourgogne/appartements/Appartement_%C3%A0_vendre_116_m%C2%B2_%C3%A0_Casablanca_55443110.htm
11,Appartement à vendre 140 m² à Casablanca,1 050 000 DH,Casablanca,"11/6/2024, 11:57:14 AM",4,2,160,,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_140_m%C2%B2_%C3%A0_Casablanca_54490284.htm
12,Appartement à vendre 128 m² à Casablanca,2 970 000 DH,Casablanca,"11/6/2024, 11:55:16 AM",3,2,139,"Ascenseur, Balcon, Cuisine Équipée, Parking, Sécurité",https://www.avito.ma/fr/anfa/appartements/Appartement_%C3%A0_vendre_128_m%C2%B2_%C3%A0_Casablanca_55679737.htm
13,Appartement à vendre 84 m² à Casablanca,1 478 000 DH,Casablanca,"11/6/2024, 11:47:50 AM",2,2,84,"Ascenseur, Balcon, Chauffage, Climatisation, Concierge, Cuisine Équipée, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/franceville/appartements/Appartement_%C3%A0_vendre_84_m%C2%B2_%C3%A0_Casablanca_55021228.htm
14,,,,,,,,,https://immoneuf.avito.ma/fr/unite/jX8?utm_source=avito_integration&utm_medium=listing_integration
15,Appartement à vendre 87 m² à Casablanca,696 000 DH,Casablanca,"11/6/2024, 11:43:16 AM",2,2,87,,https://www.avito.ma/fr/errahma/appartements/Appartement_%C3%A0_vendre_87_m%C2%B2_%C3%A0_Casablanca_55342053.htm
16,Appartement à vendre 170 m² à Casablanca,1 870 000 DH,Casablanca,"11/6/2024, 11:41:06 AM",3,2,,"Ascenseur, Parking, Sécurité",https://www.avito.ma/fr/2_mars/appartements/Appartement_%C3%A0_vendre_170_m%C2%B2_%C3%A0_Casablanca_54461001.htm
17,Appartement à vendre 105 m² à Casablanca,2 200 000 DH,Casablanca,"11/6/2024, 11:40:20 AM",2,2,108,"Ascenseur, Balcon, Climatisation, Concierge, Cuisine Équipée, Parking",https://www.avito.ma/fr/triangle_d'or/appartements/Appartement_%C3%A0_vendre_105_m%C2%B2_%C3%A0_Casablanca_55697004.htm
18,Appartement à vendre 115 m² à Casablanca,1 700 000 DH,Casablanca,"11/6/2024, 11:35:59 AM",2,2,,,https://www.avito.ma/fr/beaus%C3%A9jour/appartements/Appartement_%C3%A0_vendre_115_m%C2%B2_%C3%A0_Casablanca_55194354.htm
19,,,,,,,,,https://immoneuf.avito.ma/fr/unite/jhh?utm_source=avito_integration&utm_medium=listing_integration
20,Appartement à vendre 117 m² à Casablanca,17 500 DH,Casablanca,"11/6/2024, 11:27:32 AM",3,2,117,,https://www.avito.ma/fr/val_fleuri/appartements/Appartement_%C3%A0_vendre_117_m%C2%B2_%C3%A0_Casablanca_55198769.htm
21,CMN-MA-1757 - Appartement à vendre à Palmier,1 500 000 DH,Casablanca,"11/6/2024, 11:22:18 AM",2,1,98,Ascenseur,https://www.avito.ma/fr/palmier/appartements/CMN_MA_1757___Appartement_%C3%A0_vendre_%C3%A0_Palmier_55655491.htm
22,Appartement à vendre 110 m² à Casablanca,1 250 000 DH,Casablanca,"11/6/2024, 11:26:55 AM",3,1,110,"Ascenseur, Balcon, Concierge, Cuisine Équipée, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/abdelmoumen/appartements/Appartement_%C3%A0_vendre_110_m%C2%B2_%C3%A0_Casablanca_55368317.htm
23,CMN-AC-1554 - Appartement à vendre à Mandarona,1 700 000 DH,Casablanca,"11/6/2024, 11:09:42 AM",3,2,108,,https://www.avito.ma/fr/mandarona/appartements/CMN_AC_1554___Appartement_%C3%A0_vendre_%C3%A0_Mandarona_55109116.htm
24,,,,,,,,,https://immoneuf.avito.ma/fr/unite/joX?utm_source=avito_integration&utm_medium=listing_integration
25,Jolie Appartement à vendre 131 m² à Casablanca,1 780 000 DH,Casablanca,"11/6/2024, 11:11:24 AM",3,2,,"Ascenseur, Balcon, Chauffage, Climatisation, Concierge, Cuisine Équipée, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/maarif/appartements/Jolie_Appartement_%C3%A0_vendre_131_m%C2%B2_%C3%A0_Casablanca_55644011.htm
26,CMN-MA-1678 - Appartement à vendre à Les princesses,1 550 000 DH,Casablanca,"11/6/2024, 11:03:50 AM",2,2,113,"Ascenseur, Balcon, Parking, Terrasse",https://www.avito.ma/fr/les_princesses/appartements/CMN_MA_1678___Appartement_%C3%A0_vendre_%C3%A0_Les_princesses_55498854.htm
27,CMN-AS-1422 - Appartement à vendre à Hay Palestine,820 000 DH,Casablanca,"11/6/2024, 11:03:07 AM",2,1,75,Ascenseur,https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/appartements/CMN_AS_1422___Appartement_%C3%A0_vendre_%C3%A0_Hay_Palestine_54790897.htm
28,Appartement à vendre 86 m² à Casablanca Oasis,1 690 000 DH,Casablanca,"11/6/2024, 11:01:18 AM",2,2,,"Ascenseur, Balcon, Climatisation, Concierge, Cuisine Équipée, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/oasis/appartements/Appartement_%C3%A0_vendre_86_m%C2%B2_%C3%A0_Casablanca_Oasis_54644997.htm
29,,,,,,,,,https://immoneuf.avito.ma/fr/unite/jf0?utm_source=avito_integration&utm_medium=listing_integration
30,Appartement à vendre 64 m² à Casablanca,PRIX NON SPÉCIFIÉ,Casablanca,"11/6/2024, 10:57:27 AM",,,,,https://www.avito.ma/fr/sidi_bernoussi/appartements/Appartement_%C3%A0_vendre_64_m%C2%B2_%C3%A0_Casablanca_37621456.htm
31,Appartement à vendre 115 m² à Casablanca,1 700 000 DH,Casablanca,"11/6/2024, 10:57:38 AM",3,3,,"Ascenseur, Balcon, Chauffage, Climatisation, Concierge, Cuisine Équipée, Parking, Sécurité",https://www.avito.ma/fr/maarif/appartements/Appartement_%C3%A0_vendre_115_m%C2%B2_%C3%A0_Casablanca_55471363.htm
32,Appartement à vendre 66 m² à Casablanca,520 000 DH,Casablanca,"11/6/2024, 10:59:55 AM",2,2,,Balcon,https://www.avito.ma/fr/errahma/appartements/Appartement_%C3%A0_vendre_66_m%C2%B2_%C3%A0_Casablanca_55738632.htm
33,Appartement à vendre 94 m² à Marrakech,PRIX NON SPÉCIFIÉ,Marrakech,"11/6/2024, 10:59:54 AM",,,,,https://www.avito.ma/fr/route_de_casablanca/appartements/Appartement_%C3%A0_vendre_94_m%C2%B2_%C3%A0_Marrakech_54614980.htm
34,,,,,,,,,https://immoneuf.avito.ma/fr/unite/jX9?utm_source=avito_integration&utm_medium=listing_integration
35,Appartement à vendre 43 m² à Casablanca,1 000 000 DH,Casablanca,"11/6/2024, 10:58:43 AM",1,1,43,"Ascenseur, Balcon, Chauffage, Climatisation, Concierge, Cuisine Équipée, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/les_princesses/appartements/Appartement_%C3%A0_vendre_43_m%C2%B2_%C3%A0_Casablanca_55669969.htm
36,Appartement à vendre 94 m² à Casablanca,750 000 DH,Casablanca,"11/6/2024, 10:58:11 AM",3,2,83,"Ascenseur, Balcon, Concierge, Cuisine Équipée, Parking, Sécurité",https://www.avito.ma/fr/sidi_bernoussi/appartements/Appartement_%C3%A0_vendre_94_m%C2%B2_%C3%A0_Casablanca_55613938.htm
37,CMN-AC-1599 - Appartement à vendre à Californie,1 250 000 DH,Casablanca,"11/6/2024, 10:53:25 AM",2,2,88,Ascenseur,https://www.avito.ma/fr/californie/appartements/CMN_AC_1599___Appartement_%C3%A0_vendre_%C3%A0_Californie_55180275.htm
38,Appartement à vendre 157 m² à Casablanca,PRIX NON SPÉCIFIÉ,Casablanca,"11/6/2024, 10:57:11 AM",,,,,https://www.avito.ma/fr/2_mars/appartements/Appartement_%C3%A0_vendre_157_m%C2%B2_%C3%A0_Casablanca_54743695.htm
39,,,,,,,,,https://immoneuf.avito.ma/fr/unite/jUi?utm_source=avito_integration&utm_medium=listing_integration
40,Appartement à vendre 55 m² à Casablanca,1 300 000 DH,Casablanca,"11/6/2024, 10:56:10 AM",1,1,,,https://www.avito.ma/fr/maarif/appartements/Appartement_%C3%A0_vendre_55_m%C2%B2_%C3%A0_Casablanca_55669975.htm
41,Appartement à vendre 42 m² à Casablanca,900 000 DH,Casablanca,"11/6/2024, 10:55:23 AM",1,1,41,"Ascenseur, Balcon, Chauffage, Climatisation, Concierge, Cuisine Équipée, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/les_princesses/appartements/Appartement_%C3%A0_vendre_42_m%C2%B2_%C3%A0_Casablanca_55102908.htm
42,Appartement à vendre 84 m² à Casablanca,672 000 DH,Casablanca,"11/6/2024, 10:49:53 AM",2,2,84,"Ascenseur, Balcon, Concierge, Cuisine Équipée, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/errahma/appartements/Appartement_%C3%A0_vendre_84_m%C2%B2_%C3%A0_Casablanca_54961114.htm
43,,,,,,,,,https://immoneuf.avito.ma/fr/unite/jni?utm_source=avito_integration&utm_medium=listing_integration
44,Appartement 50 m² à Casablanca,250 000 DH,Casablanca,"11/6/2024, 10:54:27 AM",2,1,,,https://www.avito.ma/fr/sidi_bernoussi/appartements/Appartement_50_m%C2%B2_%C3%A0_Casablanca_55037752.htm
45,Appartement à vendre 98 m² à Casablanca,1 000 000 DH,Casablanca,"11/6/2024, 10:46:16 AM",2,2,98,"Ascenseur, Balcon, Chauffage, Climatisation, Concierge, Cuisine Équipée, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_98_m%C2%B2_%C3%A0_Casablanca_54215645.htm
46,Appartement à vendre 108 m² à Casablanca,PRIX NON SPÉCIFIÉ,Casablanca,"11/6/2024, 10:46:04 AM",,,,,https://www.avito.ma/fr/al_qods/appartements/Appartement_%C3%A0_vendre_108_m%C2%B2_%C3%A0_Casablanca_55742873.htm
47,Appartement dans une villa à Issil,920 000 DH,Marrakech,"11/6/2024, 10:45:59 AM",3,1,97,Balcon,https://www.avito.ma/fr/issil/appartements/Appartement_dans_une_villa_%C3%A0_Issil_54224783.htm
48,,,,,,,,,https://immoneuf.avito.ma/fr/unite/sPG?utm_source=avito_integration&utm_medium=listing_integration
49,Appartement à vendre 41 m² à Casablanca,960 000 DH,Casablanca,"11/6/2024, 10:44:35 AM",1,1,,"Ascenseur, Balcon, Chauffage, Climatisation, Concierge, Cuisine Équipée, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/maarif/appartements/Appartement_%C3%A0_vendre_41_m%C2%B2_%C3%A0_Casablanca_55670023.htm
50,Appartement à vendre 5 m² à Casablanca,460 000 DH,Casablanca,"11/6/2024, 10:44:08 AM",2,1,54,Balcon,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_vendre_5_m%C2%B2_%C3%A0_Casablanca_55621745.htm
51,Appart 97m2 pres Mc Donald 5min Gueliz,1 115 500 DH,Marrakech,"11/6/2024, 10:39:36 AM",2,1,,,https://www.avito.ma/fr/av_abdelkrim_el_khattabi/appartements/Appart_97m2_pres_Mc_Donald_5min_Gueliz_54924414.htm
52,Appartement à vendre 78 m² à Casablanca,740 000 DH,Casablanca,"11/6/2024, 10:37:35 AM",2,2,78,"Balcon, Concierge, Cuisine Équipée, Sécurité, Terrasse",https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_%C3%A0_vendre_78_m%C2%B2_%C3%A0_Casablanca_52503643.htm
53,,,,,,,,,https://immoneuf.avito.ma/fr/unite/jX9?utm_source=avito_integration&utm_medium=listing_integration
54,CMN-MA-1342 - Appartement à vendre à Bachkou,1 390 000 DH,Casablanca,"11/6/2024, 10:32:26 AM",2,1,105,"Ascenseur, Balcon, Terrasse",https://www.avito.ma/fr/bachkou/appartements/CMN_MA_1342___Appartement_%C3%A0_vendre_%C3%A0_Bachkou_54603815.htm
55,Appartement à vendre 69 m² à Casablanca,440 000 DH,Casablanca,"11/6/2024, 10:32:48 AM",3,1,69,"Balcon, Concierge, Sécurité",https://www.avito.ma/fr/a%C3%AFn_borja/appartements/Appartement_%C3%A0_vendre_69_m%C2%B2_%C3%A0_Casablanca_38635452.htm
56,Appartement de luxe à Californie à Casablanca,3 500 000 DH,Casablanca,"11/6/2024, 10:30:11 AM",4,3,187,"Ascenseur, Balcon, Chauffage, Climatisation, Concierge, Cuisine Équipée, Meublé, Sécurité, Terrasse",https://www.avito.ma/fr/californie/appartements/_Appartement_de_luxe_%C3%A0_Californie_%C3%A0_Casablanca_55670233.htm
57,Appartement à vendre Avec Garage,PRIX NON SPÉCIFIÉ,Casablanca,"11/6/2024, 10:27:59 AM",,,,,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_vendre_Avec_Garage__54700610.htm
58,,,,,,,,,https://immoneuf.avito.ma/fr/unite/4jR?utm_source=avito_integration&utm_medium=listing_integration
59,Appartement duplex à vendre 257 m² à Casablanca,PRIX NON SPÉCIFIÉ,Casablanca,"11/6/2024, 10:27:48 AM",,,,,https://www.avito.ma/fr/oulfa/appartements/Appartement_duplex_%C3%A0_vendre_257_m%C2%B2_%C3%A0_Casablanca_55734809.htm
60,CMN-AS-1063 - Appartement à vendre à Aïn Sebaâ,1 300 000 DH,Casablanca,"11/6/2024, 10:09:07 AM",3,2,141,"Ascenseur, Balcon, Terrasse",https://www.avito.ma/fr/ain_sebaa/appartements/CMN_AS_1063___Appartement_%C3%A0_vendre_%C3%A0_A%C3%AFn_Seba%C3%A2_55011389.htm
61,Appartement à vendre 165 m² à Casablanca,1 200 000 DH,Casablanca,"11/6/2024, 10:09:04 AM",2,2,210,"Ascenseur, Balcon, Chauffage, Climatisation, Concierge, Cuisine Équipée, Duplex, Meublé, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/appartements/Appartement_%C3%A0_vendre_165_m%C2%B2_%C3%A0_Casablanca_55628881.htm
62,CMN-MA-1698 - Appartement à vendre à 2 Mars,1 440 000 DH,Casablanca,"11/6/2024, 9:53:06 AM",2,2,80,"Ascenseur, Balcon, Parking, Terrasse",https://www.avito.ma/fr/2_mars/appartements/CMN_MA_1698___Appartement_%C3%A0_vendre_%C3%A0_2_Mars_55549534.htm
63,,,,,,,,,https://immoneuf.avito.ma/fr/unite/j8e?utm_source=avito_integration&utm_medium=listing_integration
64,Appartement à vendre 77 m² à Casablanca,820 000 DH,Casablanca,"11/6/2024, 9:56:10 AM",2,2,77,"Ascenseur, Parking, Sécurité",https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_%C3%A0_vendre_77_m%C2%B2_%C3%A0_Casablanca_55303733.htm
65,Appartement à vendre 137 m² à Casablanca,PRIX NON SPÉCIFIÉ,Casablanca,"11/6/2024, 9:54:20 AM",,,,,https://www.avito.ma/fr/racine/appartements/Appartement_%C3%A0_vendre_137_m%C2%B2_%C3%A0_Casablanca_55742628.htm
66,Appartement à vendre 101 m² à Casablanca,808 000 DH,Casablanca,"11/6/2024, 9:48:04 AM",3,2,101,,https://www.avito.ma/fr/errahma/appartements/Appartement_%C3%A0_vendre_101_m%C2%B2_%C3%A0_Casablanca_55613556.htm
67,1 appartement par étage de 3 chambres,2 850 000 DH,Casablanca,"11/6/2024, 9:51:02 AM",3,2,,"Ascenseur, Balcon, Climatisation, Cuisine Équipée, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/oasis/appartements/1_appartement_par_%C3%A9tage_de_3_chambres__55657154.htm
68,,,,,,,,,https://immoneuf.avito.ma/fr/unite/jiE?utm_source=avito_integration&utm_medium=listing_integration
69,Appartement à vendre 85 m² à Casablanca,1 050 000 DH,Casablanca,"11/6/2024, 9:46:18 AM",2,2,113,"Ascenseur, Balcon, Concierge, Cuisine Équipée, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_85_m%C2%B2_%C3%A0_Casablanca_54294327.htm
70,Appartement à vendre 108 m² à Casablanca,1 850 000 DH,Casablanca,"11/6/2024, 9:45:45 AM",2,2,115,"Ascenseur, Balcon, Chauffage, Climatisation, Concierge, Cuisine Équipée, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/racine/appartements/Appartement_%C3%A0_vendre_108_m%C2%B2_%C3%A0_Casablanca_54318662.htm
71,Appartement à vendre 36 m² à Casablanca,980 000 DH,Casablanca,"11/6/2024, 9:33:17 AM",1,1,53,"Ascenseur, Balcon, Chauffage, Climatisation, Concierge, Cuisine Équipée, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_%C3%A0_vendre_36_m%C2%B2_%C3%A0_Casablanca_55452214.htm
72,Appartement à vendre 121 m² à Casablanca,2 250 000 DH,Casablanca,"11/6/2024, 9:10:57 AM",3,3,,,https://www.avito.ma/fr/ma%C3%A2rif_extension/appartements/Appartement_%C3%A0_vendre_121_m%C2%B2_%C3%A0_Casablanca_55223847.htm
73,,,,,,,,,https://immoneuf.avito.ma/fr/unite/j0x?utm_source=avito_integration&utm_medium=listing_integration
74,CMN-AN-1638 - Appartement à vendre à Bourgogne,1 300 000 DH,Casablanca,"11/6/2024, 9:03:42 AM",2,1,94,"Ascenseur, Balcon, Terrasse",https://www.avito.ma/fr/bourgogne/appartements/CMN_AN_1638___Appartement_%C3%A0_vendre_%C3%A0_Bourgogne_55392350.htm
75,CMN-ME-1284 - Appartement à vendre à La Gironde,880 000 DH,Casablanca,"11/6/2024, 8:57:59 AM",2,2,75,"Ascenseur, Balcon, Parking, Terrasse",https://www.avito.ma/fr/la_gironde/appartements/CMN_ME_1284___Appartement_%C3%A0_vendre_%C3%A0_La_Gironde_54561889.htm
76,Appartement à vendre 144 m² à Rabat,3 300 000 DH,Rabat,"11/6/2024, 8:54:18 AM",3,3,144,"Ascenseur, Balcon, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/hay_riad/appartements/Appartement_%C3%A0_vendre_144_m%C2%B2_%C3%A0_Rabat_55223052.htm
77,Appartement à vendre 50 m² à Casablanca,1 100 000 DH,Casablanca,"11/6/2024, 8:51:24 AM",1,1,50,"Ascenseur, Balcon, Chauffage, Climatisation, Cuisine Équipée, Parking, Sécurité",https://www.avito.ma/fr/ma%C3%A2rif_extension/appartements/Appartement_%C3%A0_vendre_50_m%C2%B2_%C3%A0_Casablanca_55506056.htm
78,,,,,,,,,https://immoneuf.avito.ma/fr/unite/ixl?utm_source=avito_integration&utm_medium=listing_integration
79,CMN-SI-1650 - Appartement à vendre à Bourgogne Est,1 250 000 DH,Casablanca,"11/6/2024, 8:46:16 AM",2,1,74,"Ascenseur, Balcon, Terrasse",https://www.avito.ma/fr/bourgogne/appartements/CMN_SI_1650___Appartement_%C3%A0_vendre_%C3%A0_Bourgogne_Est_55653633.htm
80,Appartement à vendre 79 m² à Casablanca,580 000 DH,Casablanca,"11/6/2024, 8:40:22 AM",2,1,79,"Balcon, Cuisine Équipée, Parking, Terrasse",https://www.avito.ma/fr/sidi_moumen/appartements/Appartement_%C3%A0_vendre_79_m%C2%B2_%C3%A0_Casablanca_55223183.htm
81,Appartement à vendre 44 m² à Casablanca,864 000 DH,Casablanca,"11/6/2024, 8:31:07 AM",1,1,44,"Ascenseur, Balcon, Chauffage, Climatisation, Concierge, Cuisine Équipée, Parking, Sécurité",https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_%C3%A0_vendre_44_m%C2%B2_%C3%A0_Casablanca_55449791.htm
82,CMN-MA-1755 - Appartement à vendre à Racine,1 400 000 DH,Casablanca,"11/6/2024, 8:24:52 AM",1,1,58,"Ascenseur, Balcon, Parking, Terrasse",https://www.avito.ma/fr/racine/appartements/CMN_MA_1755___Appartement_%C3%A0_vendre_%C3%A0_Racine_55650826.htm
83,,,,,,,,,https://immoneuf.avito.ma/fr/unite/j9b?utm_source=avito_integration&utm_medium=listing_integration
84,Appartement à vendre 103 m² à Marrakech,PRIX NON SPÉCIFIÉ,Marrakech,"11/6/2024, 8:29:38 AM",,,,,https://www.avito.ma/fr/route_de_casablanca/appartements/Appartement_%C3%A0_vendre_103_m%C2%B2_%C3%A0_Marrakech_55035347.htm
85,Appartement à vendre 108 m² à Nouaceur,1 039 000 DH,Nouaceur,"11/6/2024, 5:51:40 AM",2,2,108,"Ascenseur, Balcon, Climatisation, Concierge, Parking, Sécurité",https://www.avito.ma/fr/nouaceur/appartements/Appartement_%C3%A0_vendre_108_m%C2%B2_%C3%A0_Nouaceur_55658309.htm
86,Appartement à vendre 168 m² à Casablanca,2 730 000 DH,Casablanca,"11/6/2024, 1:32:20 AM",3,3,168,"Ascenseur, Balcon, Concierge, Parking, Terrasse",https://www.avito.ma/fr/racine/appartements/Appartement_%C3%A0_vendre_168_m%C2%B2_%C3%A0_Casablanca_55742247.htm
87,,,,,,,,,https://immoneuf.avito.ma/fr/unite/4jd?utm_source=avito_integration&utm_medium=listing_integration
88,Appartement à vendre 102 m² à Casablanca,1 170 000 DH,Casablanca,"11/6/2024, 12:56:06 AM",3,2,102,"Ascenseur, Balcon, Chauffage, Climatisation, Concierge, Cuisine Équipée, Parking, Sécurité",https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_102_m%C2%B2_%C3%A0_Casablanca_54908391.htm
89,Appartement à vendre 79 m² à Casablanca,890 000 DH,Casablanca,"11/6/2024, 12:55:33 AM",2,2,79,"Ascenseur, Balcon, Chauffage, Climatisation, Concierge, Cuisine Équipée, Parking, Sécurité",https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_79_m%C2%B2_%C3%A0_Casablanca_54931023.htm
90,Appartement 127m2 à Les Princesses Casablanca,21 600 000 DH,Casablanca,"11/6/2024, 12:54:58 AM",3,2,127,"Ascenseur, Balcon, Chauffage, Climatisation, Concierge, Cuisine Équipée, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/maarif/appartements/Appartement_127m2_%C3%A0_Les_Princesses_Casablanca__50660949.htm
91,Appartement à vendre 56 m² à Casablanca,33 000 DH,Casablanca,"11/6/2024, 12:13:00 AM",2,1,56,"Chauffage, Concierge, Cuisine Équipée",https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_56_m%C2%B2_%C3%A0_Casablanca_55742194.htm
92,,,,,,,,,https://immoneuf.avito.ma/fr/unite/opK?utm_source=avito_integration&utm_medium=listing_integration
93,Appartement à vendre 91 m² à CFC Casablanca,PRIX NON SPÉCIFIÉ,Casablanca,"11/5/2024, 10:52:58 PM",,,,,https://www.avito.ma/fr/casablanca_finance_city/appartements/Appartement_%C3%A0_vendre_91_m%C2%B2_%C3%A0_CFC_Casablanca_55617101.htm
94,Appartement Moderne à Maarif Parfait pour Familles,1 800 000 DH,Casablanca,"11/5/2024, 10:41:58 PM",3,2,145,"Ascenseur, Balcon, Climatisation, Concierge, Cuisine Équipée, Meublé, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/maarif/appartements/Appartement_Moderne_%C3%A0_Maarif_Parfait_pour_Familles_55356106.htm
95,Appartement 70 m² à Casablanca,320 000 DH,Casablanca,"11/5/2024, 10:35:11 PM",2,,,"Balcon, Parking, Sécurité",https://www.avito.ma/fr/oulfa/appartements/Appartement_70_m%C2%B2_%C3%A0_Casablanca_55742006.htm
96,Appartement à vendre roches noires à Casablanca,1 044 000 DH,Casablanca,"11/5/2024, 9:35:12 PM",3,2,93,"Ascenseur, Balcon, Climatisation, Concierge, Cuisine Équipée, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/roches_noires/appartements/Appartement_%C3%A0_vendre_roches_noires_%C3%A0_Casablanca_55723042.htm
97,,,,,,,,,https://immoneuf.avito.ma/fr/unite/gMe?utm_source=avito_integration&utm_medium=listing_integration
98,Appartement à vendre 50 m² à Casablanca,PRIX NON SPÉCIFIÉ,Casablanca,"11/5/2024, 9:04:43 PM",,,,,https://www.avito.ma/fr/maarif/appartements/Appartement_%C3%A0_vendre_50_m%C2%B2_%C3%A0_Casablanca_55741696.htm
99,Appartement à vendre 90m² à Casablanca,PRIX NON SPÉCIFIÉ,Casablanca,"11/5/2024, 8:59:13 PM",,,,,https://www.avito.ma/fr/a%C3%AFn_borja/appartements/Appartement_%C3%A0_vendre_90m%C2%B2_%C3%A0_Casablanca_55726518.htm
100,Appartement 110 m² à Casablanca,690 000 DH,Casablanca,"11/5/2024, 8:47:49 PM",3,2,110,"Balcon, Duplex, Terrasse",https://www.avito.ma/fr/sidi_bernoussi/appartements/Appartement_110_m%C2%B2_%C3%A0_Casablanca_54645618.htm
