,title,price,city,datetime,nb_rooms,nb_baths,surface_area,equipement,link
500,Appartement à vendre à Casablanca,PRIX NON SPÉCIFIÉ,Casablanca,"10/29/2024, 7:36:45 PM",,,,,https://www.avito.ma/fr/val_fleuri/appartements/Appartement_%C3%A0_vendre_%C3%A0_Casablanca_55714775.htm
501,Appartement à vendre 56 m² à Casablanca,260 000 DH,Casablanca,"10/29/2024, 4:24:54 PM",2,1,,,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_vendre_56_m%C2%B2_%C3%A0_Casablanca_55714058.htm
502,Appartement à vendre 55 m² à Casablanca,PRIX NON SPÉCIFIÉ,Casablanca,"10/29/2024, 4:20:47 PM",,,,,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_vendre_55_m%C2%B2_%C3%A0_Casablanca_55714021.htm
503,,,,,,,,,https://immoneuf.avito.ma/fr/unite/4qI?utm_source=avito_integration&utm_medium=listing_integration
504,CMN-MA-1780 - Appartement à vendre à Franceville,2 300 000 DH,Casablanca,"10/29/2024, 4:04:36 PM",3,2,145,"Ascenseur, Balcon, Parking, Terrasse",https://www.avito.ma/fr/franceville/appartements/CMN_MA_1780___Appartement_%C3%A0_vendre_%C3%A0_Franceville_55713970.htm
505,Appartement à vendre 200 m² à Casablanca,2 000 000 DH,Casablanca,"10/29/2024, 4:03:09 PM",3,2,,"Ascenseur, Cuisine Équipée, Parking, Terrasse",https://www.avito.ma/fr/2_mars/appartements/Appartement_%C3%A0_vendre_200_m%C2%B2_%C3%A0_Casablanca_55713955.htm
506,CMN-AN-1671 - Appartement à vendre à Racine,3 600 000 DH,Casablanca,"10/29/2024, 3:34:15 PM",4,2,200,"Ascenseur, Balcon, Parking, Terrasse",https://www.avito.ma/fr/racine/appartements/CMN_AN_1671___Appartement_%C3%A0_vendre_%C3%A0_Racine_55713815.htm
507,appartement au coeur de Casablanca,1 150 000 DH,Casablanca,"10/29/2024, 1:51:07 PM",2,1,100,"Ascenseur, Concierge, Cuisine Équipée, Parking",https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/appartements/appartement_au_coeur_de_Casablanca__55713251.htm
508,,,,,,,,,https://immoneuf.avito.ma/fr/unite/jAg?utm_source=avito_integration&utm_medium=listing_integration
509,Appartement à vendre à Casablanca,285 000 DH,Casablanca,"10/29/2024, 1:23:06 PM",2,1,50,"Parking, Sécurité",https://www.avito.ma/fr/sidi_bernoussi/appartements/Appartement_%C3%A0_vendre_%C3%A0_Casablanca_55713109.htm
510,Appartement à vendre 66 m² à Casablanca,260 000 DH,Casablanca,"10/29/2024, 1:07:25 PM",2,1,,Balcon,https://www.avito.ma/fr/lissasfa/appartements/Appartement_%C3%A0_vendre_66_m%C2%B2_%C3%A0_Casablanca_55453662.htm
511,Appartement à vendre 250 m² à Casablanca,3 250 000 DH,Casablanca,"10/29/2024, 11:18:51 AM",3,3,250,"Ascenseur, Balcon, Climatisation, Concierge, Cuisine Équipée, Parking, Sécurité",https://www.avito.ma/fr/2_mars/appartements/Appartement_%C3%A0_vendre_250_m%C2%B2_%C3%A0_Casablanca_55712564.htm
512,Appartement Équipé à Vendre à Sidi Maarouf,580 000 DH,Casablanca,"10/29/2024, 11:14:25 AM",2,1,65,,https://www.avito.ma/fr/sidi_maarouf/appartements/_Appartement_%C3%89quip%C3%A9_%C3%A0_Vendre_%C3%A0_Sidi_Maarouf_55712536.htm
513,,,,,,,,,https://immoneuf.avito.ma/fr/unite/4qQ?utm_source=avito_integration&utm_medium=listing_integration
